Timestamp,Bid,Ask,High,Low
1603173362659,47.87,48.14,48.61,47.7
1603173363074,47.87,48.14,48.61,47.7
1603173363662,47.86,48.14,48.61,47.7
1603173364076,47.86,48.14,48.61,47.7
1603173669669,47.84,48.12,48.61,47.7
1603173669688,47.84,48.12,48.61,47.7
1603173670694,47.84,48.12,48.61,47.7
1603173670701,47.84,48.12,48.61,47.7
1603173671703,47.84,48.12,48.61,47.7
1603173671718,47.84,48.12,48.61,47.7
1603190945531,47.5,47.78,48.61,47.13
1603190945771,47.5,47.78,48.61,47.13
1603191363616,47.61,47.89,48.61,47.13
1603191363659,47.61,47.89,48.61,47.13
1603191698463,47.59,47.86,48.61,47.13
1603191698514,47.59,47.86,48.61,47.13
1603191885797,47.57,47.86,48.61,47.13
1603191885970,47.57,47.86,48.61,47.13
1603191934340,47.59,47.87,48.61,47.13
1603191934482,47.59,47.87,48.61,47.13
1603191979532,47.62,47.89,48.61,47.13
1603191979943,47.62,47.89,48.61,47.13
1603191986860,47.63,47.91,48.61,47.13
1603191987233,47.63,47.91,48.61,47.13
1603191994786,47.64,47.92,48.61,47.13
1603191996046,47.64,47.92,48.61,47.13
1603192004243,47.63,47.91,48.61,47.13
1603192004633,47.63,47.91,48.61,47.13
1603192011475,47.62,47.89,48.61,47.13
1603192011822,47.62,47.89,48.61,47.13
1603192017231,47.6,47.88,48.61,47.13
1603192020895,47.6,47.88,48.61,47.13
1603192022556,47.6,47.87,48.61,47.13
1603192037040,47.58,47.85,48.61,47.13
1603192038620,47.58,47.85,48.61,47.13
1603192044238,47.58,47.84,48.61,47.13
1603192045327,47.58,47.84,48.61,47.13
1603192049690,47.54,47.82,48.61,47.13
1603192052920,47.54,47.83,48.61,47.13
1603192057417,47.57,47.85,48.61,47.13
1603192059539,47.58,47.86,48.61,47.13
1603192060693,47.6,47.88,48.61,47.13
1603192080429,47.58,47.85,48.61,47.13
1603192080446,47.58,47.85,48.61,47.13
1603192116955,47.64,47.92,48.61,47.13
1603192116968,47.64,47.92,48.61,47.13
1603192120297,47.64,47.92,48.61,47.13
1603192120297,47.64,47.92,48.61,47.13
1603192122730,47.64,47.92,48.61,47.13
1603192123010,47.64,47.92,48.61,47.13
1603192125222,47.64,47.92,48.61,47.13
1603192125644,47.64,47.92,48.61,47.13
1603192128391,47.64,47.92,48.61,47.13
1603192128435,47.64,47.92,48.61,47.13
1603192133595,47.64,47.92,48.61,47.13
1603192134151,47.64,47.92,48.61,47.13
1603192138812,47.64,47.92,48.61,47.13
1603192138863,47.64,47.92,48.61,47.13
1603192144159,47.64,47.92,48.61,47.13
1603192144374,47.64,47.92,48.61,47.13
1603192148338,47.64,47.92,48.61,47.13
1603192148697,47.64,47.92,48.61,47.13
1603192151185,47.64,47.92,48.61,47.13
1603192154448,47.64,47.92,48.61,47.13
1603192155248,47.64,47.92,48.61,47.13
1603192158543,47.64,47.92,48.61,47.13
1603192158554,47.64,47.92,48.61,47.13
1603192935709,47.56,47.84,48.61,47.13
1603193238599,47.2,47.48,48.61,47.13
1603193238685,47.2,47.48,48.61,47.13
1603193239618,47.2,47.48,48.61,47.13
1603193239702,47.2,47.48,48.61,47.13
1603193240621,47.21,47.49,48.61,47.13
1603193240714,47.21,47.49,48.61,47.13
1603193241635,47.18,47.43,48.61,47.13
1603193241726,47.18,47.43,48.61,47.13
1603193242636,47.18,47.45,48.61,47.13
1603193242737,47.18,47.45,48.61,47.13
1603193971238,46.95,47.24,48.61,46.68
1603193971261,46.95,47.24,48.61,46.68
1603194175810,47.03,47.31,48.61,46.68
1603195500830,46.94,47.21,48.61,46.68
1603195501770,46.94,47.21,48.61,46.68
1603195732447,46.94,47.22,48.61,46.68
1603195733216,46.94,47.22,48.61,46.68
1603195811859,47.0,47.3,48.61,46.68
1603195811921,47.0,47.3,48.61,46.68
1603195814361,47.0,47.3,48.61,46.68
1603195815150,47.0,47.3,48.61,46.68
1603196251302,47.04,47.32,48.61,46.68
1603196251460,47.04,47.32,48.61,46.68
1603196254075,47.04,47.32,48.61,46.68
1603196254156,47.04,47.32,48.61,46.68
1603196256515,47.04,47.32,48.61,46.68
1603196256550,47.04,47.32,48.61,46.68
