Timestamp,Bid,Ask,High,Low
1603173363074,377.84,378.92,382.35,376.39
1603173363518,377.84,378.92,382.35,376.39
1603173364077,377.84,378.92,382.35,376.39
1603173364520,377.84,378.92,382.35,376.39
1603173669457,377.25,378.32,382.35,376.39
1603173669509,377.25,378.32,382.35,376.39
1603173670460,377.25,378.32,382.35,376.39
1603173670520,377.25,378.32,382.35,376.39
1603173671462,377.25,378.34,382.35,376.39
1603173671527,377.25,378.34,382.35,376.39
1603190945458,375.41,376.48,382.35,373.65
1603190945797,375.41,376.48,382.35,373.65
1603191363609,376.05,377.04,382.35,373.65
1603191363615,376.05,377.04,382.35,373.65
1603191698470,376.59,377.67,382.35,373.65
1603191698487,376.59,377.67,382.35,373.65
1603191885616,376.65,377.69,382.35,373.65
1603191885707,376.65,377.69,382.35,373.65
1603191933945,376.86,377.95,382.35,373.65
1603191934573,376.86,377.95,382.35,373.65
1603191979676,376.75,377.73,382.35,373.65
1603191979676,376.75,377.73,382.35,373.65
1603191987254,376.77,377.83,382.35,373.65
1603191987346,376.77,377.83,382.35,373.65
1603191994867,376.75,377.71,382.35,373.65
1603191995187,376.75,377.71,382.35,373.65
1603192001851,376.65,377.63,382.35,373.65
1603192004376,376.65,377.62,382.35,373.65
1603192007191,376.65,377.58,382.35,373.65
1603192012081,376.65,377.6,382.35,373.65
1603192012870,376.65,377.58,382.35,373.65
1603192019467,376.55,377.52,382.35,373.65
1603192022169,376.55,377.53,382.35,373.65
1603192024901,376.55,377.5,382.35,373.65
1603192035828,376.45,377.4,382.35,373.65
1603192037207,376.45,377.4,382.35,373.65
1603192039360,376.45,377.46,382.35,373.65
1603192044149,376.25,377.34,382.35,373.65
1603192046638,376.45,377.33,382.35,373.65
1603192048867,376.05,377.17,382.35,373.65
1603192050705,375.98,377.04,382.35,373.65
1603192052287,376.18,377.38,382.35,373.65
1603192058901,376.15,377.31,382.35,373.65
1603192059542,376.15,377.04,382.35,373.65
1603192080362,376.05,376.99,382.35,373.65
1603192080460,376.05,376.99,382.35,373.65
1603192116899,376.33,377.44,382.35,373.65
1603192116967,376.33,377.44,382.35,373.65
1603192120229,376.33,377.44,382.35,373.65
1603192120760,376.33,377.44,382.35,373.65
1603192132943,376.33,377.44,382.35,373.65
1603192133290,376.33,377.44,382.35,373.65
1603192135911,376.33,377.44,382.35,373.65
1603192137482,376.33,377.44,382.35,373.65
1603192138925,376.33,377.44,382.35,373.65
1603192139844,376.33,377.44,382.35,373.65
1603192142984,376.33,377.44,382.35,373.65
1603192144290,376.33,377.44,382.35,373.65
1603192145466,376.33,377.44,382.35,373.65
1603192149070,376.33,377.44,382.35,373.65
1603192149077,376.33,377.44,382.35,373.65
1603192154761,376.33,377.44,382.35,373.65
1603192154993,376.33,377.44,382.35,373.65
1603192158544,376.33,377.44,382.35,373.65
1603192158545,376.33,377.44,382.35,373.65
1603192935701,375.42,376.48,382.35,373.65
1603193238596,370.64,371.73,382.35,370.45
1603193238634,370.64,371.73,382.35,370.45
1603193239611,370.64,371.73,382.35,370.45
1603193239643,370.64,371.73,382.35,370.45
1603193240627,370.72,371.8,382.35,370.45
1603193240659,370.72,371.8,382.35,370.45
1603193241649,370.55,371.36,382.35,370.45
1603193241675,370.55,371.36,382.35,370.45
1603193242655,370.35,371.43,382.35,370.27
1603193242682,370.35,371.43,382.35,370.27
1603193270963,365.35,366.64,382.35,365.35
1603193971134,368.45,369.51,382.35,365.15
1603193971418,368.45,369.51,382.35,365.15
1603194175802,369.04,370.09,382.35,365.15
1603195500825,368.18,369.24,382.35,365.15
1603195501441,368.18,369.24,382.35,365.15
1603195504213,368.18,369.24,382.35,365.15
1603195811697,368.83,370.08,382.35,365.15
1603195812048,368.83,370.08,382.35,365.15
1603195815441,368.82,370.07,382.35,365.15
1603195815942,368.83,370.08,382.35,365.15
1603196251452,369.23,370.29,382.35,365.15
1603196251473,369.23,370.29,382.35,365.15
1603196253996,369.23,370.29,382.35,365.15
1603196254333,369.23,370.29,382.35,365.15
1603196256351,369.23,370.29,382.35,365.15
1603196256711,369.23,370.29,382.35,365.15
