Timestamp,Bid,Ask,High,Low
1603173363255,246.75,249.96,252.8,245.63
1603173363398,246.75,249.96,252.8,245.63
1603173364258,246.75,249.96,252.8,245.63
1603173364399,246.75,249.96,252.8,245.63
1603173669314,246.36,249.54,252.8,245.63
1603173669367,246.36,249.54,252.8,245.63
1603173670327,246.36,249.54,252.8,245.63
1603173670394,246.36,249.54,252.8,245.63
1603173671328,246.37,249.55,252.8,245.63
1603173671409,246.37,249.55,252.8,245.63
1603190046193,244.91,248.42,252.8,243.17
1603190046321,244.91,248.42,252.8,243.17
1603190945623,245.12,248.57,252.8,243.17
1603190945801,245.12,248.57,252.8,243.17
1603191363584,245.28,248.62,252.8,243.17
1603191363659,245.28,248.62,252.8,243.17
1603191698463,245.71,249.04,252.8,243.17
1603191698467,245.71,249.04,252.8,243.17
1603191885653,245.46,248.88,252.8,243.17
1603191885755,245.46,248.88,252.8,243.17
1603191934415,245.45,248.8,252.8,243.17
1603191934646,245.45,248.8,252.8,243.17
1603191979289,245.38,248.74,252.8,243.17
1603191979450,245.38,248.74,252.8,243.17
1603191986569,245.4,248.77,252.8,243.17
1603191987368,245.4,248.77,252.8,243.17
1603191992129,245.37,248.84,252.8,243.17
1603191995046,245.36,248.83,252.8,243.17
1603191997599,245.41,248.75,252.8,243.17
1603192003882,245.42,248.75,252.8,243.17
1603192004390,245.43,248.76,252.8,243.17
1603192011669,245.38,248.71,252.8,243.17
1603192012013,245.41,248.74,252.8,243.17
1603192019121,245.26,248.65,252.8,243.17
1603192021219,245.26,248.65,252.8,243.17
1603192024551,245.3,248.63,252.8,243.17
1603192035528,245.1,248.5,252.8,243.17
1603192039031,245.1,248.5,252.8,243.17
1603192044034,245.1,248.53,252.8,243.17
1603192047595,245.0,248.37,252.8,243.17
1603192050882,244.9,248.35,252.8,243.17
1603192055453,245.12,248.46,252.8,243.17
1603192059472,245.17,248.51,252.8,243.17
1603192059806,245.1,248.45,252.8,243.17
1603192080403,245.1,248.41,252.8,243.17
1603192080427,245.1,248.41,252.8,243.17
1603192116967,245.56,248.94,252.8,243.17
1603192116968,245.56,248.94,252.8,243.17
1603192120682,245.56,248.94,252.8,243.17
1603192120748,245.56,248.94,252.8,243.17
1603192123155,245.56,248.94,252.8,243.17
1603192123257,245.56,248.94,252.8,243.17
1603192125747,245.56,248.94,252.8,243.17
1603192126086,245.56,248.94,252.8,243.17
1603192128400,245.56,248.94,252.8,243.17
1603192128497,245.56,248.94,252.8,243.17
1603192133188,245.56,248.94,252.8,243.17
1603192133450,245.56,248.94,252.8,243.17
1603192135986,245.56,248.94,252.8,243.17
1603192137016,245.56,248.94,252.8,243.17
1603192138904,245.56,248.94,252.8,243.17
1603192139372,245.56,248.94,252.8,243.17
1603192144231,245.56,248.94,252.8,243.17
1603192144393,245.56,248.94,252.8,243.17
1603192148261,245.56,248.94,252.8,243.17
1603192148919,245.56,248.94,252.8,243.17
1603192150962,245.56,248.94,252.8,243.17
1603192153946,245.56,248.94,252.8,243.17
1603192154991,245.56,248.94,252.8,243.17
1603192158395,245.56,248.94,252.8,243.17
1603192158551,245.56,248.94,252.8,243.17
1603192935705,244.63,247.95,252.8,243.17
1603192935706,244.63,247.95,252.8,243.17
1603193238589,242.45,245.71,252.8,242.0
1603193238593,242.45,245.71,252.8,242.0
1603193239595,242.45,245.71,252.8,242.0
1603193239603,242.45,245.71,252.8,242.0
1603193240609,242.33,245.58,252.8,242.0
1603193240620,242.33,245.58,252.8,242.0
1603193241615,242.14,245.38,252.8,242.0
1603193241629,242.14,245.38,252.8,242.0
1603193242621,242.18,245.4,252.8,242.0
1603193242636,242.18,245.4,252.8,242.0
1603193971028,242.0,245.27,252.8,239.57
1603193971301,242.0,245.27,252.8,239.57
1603194175801,242.34,245.67,252.8,239.57
1603194175803,242.34,245.67,252.8,239.57
1603195501463,241.33,244.72,252.8,239.57
1603195501737,241.33,244.72,252.8,239.57
1603195504823,241.33,244.72,252.8,239.57
1603195731547,241.38,244.89,252.8,239.57
1603195734657,241.38,244.89,252.8,239.57
1603195811850,241.68,245.23,252.8,239.57
1603195811879,241.68,245.23,252.8,239.57
1603195814785,241.72,245.3,252.8,239.57
1603195815903,241.72,245.3,252.8,239.57
1603196250565,242.29,245.65,252.8,239.57
1603196251289,242.29,245.65,252.8,239.57
1603196253126,242.29,245.65,252.8,239.57
1603196253648,242.29,245.65,252.8,239.57
1603196255507,242.29,245.65,252.8,239.57
1603196256054,242.29,245.65,252.8,239.57
