Timestamp,Bid,Ask,High,Low
1603173362584,0.86789,0.86832,0.87208,0.86715
1603173362801,0.86789,0.86832,0.87208,0.86715
1603173363591,0.86789,0.86832,0.87208,0.86715
1603173363810,0.86789,0.86832,0.87208,0.86715
1603173669213,0.86759,0.86801,0.87208,0.86715
1603173669278,0.86759,0.86801,0.87208,0.86715
1603173670218,0.86759,0.86802,0.87208,0.86715
1603173670289,0.86759,0.86802,0.87208,0.86715
1603173671228,0.86759,0.86802,0.87208,0.86715
1603173671291,0.86759,0.86802,0.87208,0.86715
1603174238629,0.86663,0.86705,0.87208,0.86659
1603174238673,0.86663,0.86705,0.87208,0.86659
1603188295872,0.86513,0.86555,0.87208,0.865
1603188296356,0.86513,0.86555,0.87208,0.865
1603188296883,0.86513,0.86555,0.87208,0.865
1603190045780,0.86545,0.86586,0.87208,0.865
1603190046166,0.86545,0.86586,0.87208,0.865
1603190046805,0.86545,0.86586,0.87208,0.865
1603190945067,0.86518,0.86559,0.87208,0.865
1603190945523,0.86518,0.86559,0.87208,0.865
1603191363521,0.865,0.86538,0.87208,0.86492
1603191363635,0.865,0.86538,0.87208,0.86492
1603191698297,0.86484,0.86525,0.87208,0.86465
1603191698309,0.86484,0.86525,0.87208,0.86465
1603191885589,0.86502,0.86543,0.87208,0.86465
1603191885620,0.86502,0.86543,0.87208,0.86465
1603191934416,0.86514,0.86556,0.87208,0.86465
1603191934616,0.86514,0.86556,0.87208,0.86465
1603191979518,0.86518,0.8656,0.87208,0.86465
1603191979921,0.86518,0.8656,0.87208,0.86465
1603191987302,0.8652,0.86561,0.87208,0.86465
1603191987460,0.8652,0.86561,0.87208,0.86465
1603191995558,0.86518,0.8656,0.87208,0.86465
1603191995698,0.86518,0.8656,0.87208,0.86465
1603192003876,0.86517,0.86559,0.87208,0.86465
1603192004082,0.86517,0.86559,0.87208,0.86465
1603192009583,0.86516,0.86558,0.87208,0.86465
1603192010922,0.86516,0.86558,0.87208,0.86465
1603192015043,0.86517,0.86558,0.87208,0.86465
1603192016243,0.86516,0.86557,0.87208,0.86465
1603192022058,0.86516,0.86557,0.87208,0.86465
1603192022224,0.86516,0.86557,0.87208,0.86465
1603192035262,0.86517,0.86558,0.87208,0.86465
1603192036902,0.86517,0.86558,0.87208,0.86465
1603192041591,0.86519,0.8656,0.87208,0.86465
1603192042690,0.86519,0.8656,0.87208,0.86465
1603192047968,0.86519,0.8656,0.87208,0.86465
1603192050754,0.86516,0.86558,0.87208,0.86465
1603192051600,0.86517,0.86558,0.87208,0.86465
1603192055839,0.8651,0.86551,0.87208,0.86465
1603192059039,0.8651,0.86551,0.87208,0.86465
1603192060465,0.86512,0.86554,0.87208,0.86465
1603192080120,0.86516,0.86557,0.87208,0.86465
1603192080389,0.86516,0.86557,0.87208,0.86465
1603192115167,0.86515,0.86556,0.87208,0.86465
1603192117101,0.86515,0.86556,0.87208,0.86465
1603192127804,0.86515,0.86556,0.87208,0.86465
1603192129968,0.86515,0.86556,0.87208,0.86465
1603192130072,0.86515,0.86556,0.87208,0.86465
1603192134196,0.86515,0.86556,0.87208,0.86465
1603192134231,0.86515,0.86556,0.87208,0.86465
1603192138861,0.86515,0.86556,0.87208,0.86465
1603192138862,0.86515,0.86556,0.87208,0.86465
1603192144744,0.86515,0.86556,0.87208,0.86465
1603192144966,0.86515,0.86556,0.87208,0.86465
1603192148696,0.86515,0.86557,0.87208,0.86465
1603192149053,0.86515,0.86557,0.87208,0.86465
1603192153884,0.86515,0.86557,0.87208,0.86465
1603192154992,0.86515,0.86557,0.87208,0.86465
1603192158543,0.86515,0.86557,0.87208,0.86465
1603192158556,0.86515,0.86557,0.87208,0.86465
1603192935654,0.86486,0.86527,0.87208,0.86465
1603192935704,0.86486,0.86527,0.87208,0.86465
1603193150292,0.8649,0.86531,0.87208,0.86465
1603193150379,0.8649,0.86531,0.87208,0.86465
1603193238275,0.86498,0.86539,0.87208,0.86465
1603193238384,0.86498,0.86539,0.87208,0.86465
1603193239282,0.86498,0.86539,0.87208,0.86465
1603193239396,0.86498,0.86539,0.87208,0.86465
1603193240301,0.86498,0.86539,0.87208,0.86465
1603193240426,0.86498,0.86539,0.87208,0.86465
1603193241312,0.86498,0.86539,0.87208,0.86465
1603193241434,0.86498,0.86539,0.87208,0.86465
1603193242314,0.86498,0.86539,0.87208,0.86465
1603193242436,0.86498,0.86539,0.87208,0.86465
1603193270587,0.86494,0.86535,0.87208,0.86465
1603193270912,0.86494,0.86535,0.87208,0.86465
1603193347492,0.86493,0.86534,0.87208,0.86465
1603193970185,0.86474,0.86515,0.87208,0.86462
1603193970434,0.86474,0.86515,0.87208,0.86462
1603194175799,0.86451,0.86493,0.87208,0.86451
1603194430087,0.86424,0.86465,0.87208,0.86407
1603194430105,0.86424,0.86465,0.87208,0.86407
1603194708945,0.86431,0.86472,0.87208,0.86407
1603195733441,0.86476,0.86519,0.87208,0.86393
